20170317,서초,7.7,43.1,71,51,0.024,0.059,0.7,0.005,92
20170318,서초,9.5,34.1,75,53,0.027,0.065,0.7,0.008,97
20170319,서초,10.9,36,70,51,0.03,0.05,0.7,0.005,91
20170320,서초,10.2,40.4,90,62,0.008,0.074,0.9,0.006,96
20170321,서초,7.4,48.1,91,62,0.032,0.032,0.6,0.006,90
20170322,서초,7.6,32.8,45,27,0.033,0.035,0.4,0.004,103
20170323,서초,9.1,34,65,39,0.029,0.046,0.6,0.004,104
20170324,서초,8.7,41.4,53,32,0.018,0.051,0.5,0.004,95
20170325,서초,8.1,41.1,64,44,0.021,0.051,0.6,0.005,105
20170326,서초,7.3,53.1,59,41,0.029,0.039,0.5,0.005,98
20170327,서초,6.1,67.4,69,51,0.033,0.038,0.8,0.004,112
20170328,서초,7.1,59.8,82,58,0.019,0.053,0.8,0.005,106
20170329,서초,8.8,54.9,57,40,0.035,0.038,0.5,0.004,99
20170330,서초,10.6,50,62,40,0.026,0.049,0.6,0.004,94
20170331,서초,8.6,70.6,49,33,0.018,0.047,0.6,0.003,99
20170401,서초,9,60.5,20,14,0.033,0.028,0.4,0.002,102
20170402,서초,9,53.1,45,32,0.033,0.036,0.5,0.004,100
20170403,서초,11.4,45.6,75,53,0.034,0.052,0.6,0.006,107
20170404,서초,14.1,35.3,72,48,0.037,0.056,0.7,0.005,93
20170405,서초,12,66,54,36,0.012,0.066,0.7,0.006,98
20170406,서초,10.4,90,23,17,0.023,0.031,0.4,0.003,106
20170407,서초,14.5,68.1,43,30,0.022,0.04,0.5,0.003,102
20170408,서초,13,74.5,64,44,0.021,0.041,0.6,0.003,95
20170409,서초,14.8,59.6,41,28,0.026,0.029,0.5,0.002,97
20170410,서초,16.5,25.8,27,17,0.028,0.04,0.4,0.003,104
20170411,서초,15.3,36.8,52,23,0.034,0.034,0.4,0.003,97
20170412,서초,11.5,21.8,55,11,0.04,0.017,0.3,0.003,97
20170413,서초,12.7,54,63,26,0.034,0.037,0.5,0.005,102
20170414,서초,13,57.9,50,21,0.04,0.037,0.4,0.005,91
20170415,서초,16.8,59.4,59,29,0.043,0.037,0.5,0.005,92
20170416,서초,18.7,52.9,55,31,0.029,0.051,0.6,0.005,109
20170417,서초,14.7,66.5,39,23,0.022,0.049,0.6,0.003,93
20170418,서초,11.7,76.5,35,20,0.022,0.04,0.5,0.003,105
20170419,서초,12.6,43.1,70,14,0.032,0.024,0.3,0.003,104
20170420,서초,12.9,45.4,71,19,0.029,0.04,0.4,0.004,91
20170421,서초,13.1,56.5,59,20,0.028,0.045,0.5,0.004,97
20170422,서초,14.8,48.4,57,25,0.032,0.038,0.5,0.003,95
20170423,서초,14.9,40,45,22,0.041,0.036,0.4,0.004,93
20170424,서초,15.1,39.4,38,17,0.036,0.042,0.5,0.004,94
20170425,서초,16,56.8,51,27,0.044,0.035,0.4,0.004,100
20170426,서초,15.1,36,41,17,0.041,0.02,0.3,0.003,106
20170427,서초,13.6,41.8,39,13,0.039,0.024,0.4,0.004,108
20170428,서초,14.4,57.3,57,24,0.033,0.038,0.6,0.007,98
20170429,서초,17.1,44.3,57,27,0.038,0.037,0.5,0.006,90
20170430,서초,19.3,57.9,81,47,0.071,0.028,0.6,0.007,101
20170501,서초,20.1,50.8,84,47,0.061,0.033,0.6,0.005,99
20170502,서초,20.7,42,87,46,0.044,0.05,0.6,0.005,95
20170503,서초,21.5,34.1,60,29,0.063,0.041,0.5,0.004,97
20170504,서초,21,43.6,56,30,0.034,0.045,0.5,0.005,94
20170505,서초,20.9,53.4,45,20,0.039,0.019,0.3,0.003,154
20170506,서초,14.9,32,164,17,0.041,0.02,0.3,0.003,101
20170507,서초,16.6,42.6,75,14,0.044,0.023,0.3,0.005,106
20170508,서초,17.9,43.6,147,34,0.044,0.043,0.5,0.008,97
20170509,서초,17.1,62.6,112,30,0.022,0.044,0.5,0.005,98
20170510,서초,16.4,73,37,17,0.035,0.023,0.4,0.002,91
20170511,서초,19.3,65.3,65,32,0.033,0.042,0.5,0.005,94
20170512,서초,19.1,71.6,70,42,0.035,0.044,0.6,0.006,99
20170513,서초,16.4,77.8,45,24,0.039,0.031,0.4,0.004,99
20170514,서초,15.7,58.3,48,12,0.044,0.018,0.3,0.004,103
20170515,서초,16,61.4,35,10,0.032,0.026,0.3,0.004,93
20170516,서초,17.1,60.5,30,15,0.033,0.031,0.3,0.004,91
20170517,서초,18.7,50,31,16,0.024,0.037,0.4,0.005,102
20170518,서초,20.4,41.9,40,24,0.045,0.044,0.5,0.006,94
20170519,서초,21.1,42.6,39,22,0.047,0.037,0.4,0.006,90
20170520,서초,20.9,44,32,19,0.044,0.033,0.4,0.007,98
20170521,서초,21.5,48.1,26,16,0.042,0.025,0.3,0.004,98
20170522,서초,21.8,53.6,35,23,0.034,0.031,0.4,0.004,95
20170523,서초,20,68,29,19,0.017,0.033,0.4,0.004,104
20170524,서초,21.8,60.4,22,13,0.028,0.028,0.3,0.002,93
20170525,서초,19.2,45.6,32,13,0.037,0.031,0.4,0.003,96
20170526,서초,17.7,41.5,19,7,0.038,0.02,0.3,0.003,100
20170527,서초,19.5,46.1,27,12,0.045,0.029,0.4,0.004,97
20170528,서초,21.2,50.6,37,20,0.053,0.03,0.4,0.005,95
20170529,서초,22.9,61.8,59,33,0.064,0.033,0.5,0.007,99
20170530,서초,23.6,43.5,44,21,0.042,0.04,0.4,0.006,89
20170531,서초,23.3,49.1,31,18,0.027,0.043,0.4,0.004,97
20170601,서초,23.3,51.8,29,16,0.042,0.016,0.3,0.002,105
20170602,서초,20.5,37.4,23,8,0.043,0.017,0.2,0.002,112
20170603,서초,20.5,44,25,10,0.039,0.02,0.3,0.003,109
20170604,서초,21.7,36.9,24,10,0.045,0.021,0.3,0.002,105
20170605,서초,24.2,33.3,22,11,0.047,0.036,0.4,0.003,104
20170606,서초,19.4,60,18,10,0.036,0.029,0.3,0.002,96
20170607,서초,17.6,91.4,14,9,0.024,0.028,0.4,0.002,99
20170608,서초,20.1,67.3,38,25,0.057,0.026,0.6,0.003,103
20170609,서초,21.2,69.8,56,36,0.055,0.032,0.6,0.004,106
20170610,서초,21.5,46.8,41,19,0.05,0.022,0.4,0.002,101
20170611,서초,22.8,33.8,24,8,0.035,0.027,0.3,0.002,105
