"","dt","temp","humi","pm10","sales2"
"731","20170101",2.70000004768372,75.9000015258789,40,127
"732","20170102",5,77.8000030517578,33,131
"733","20170103",2,61.7999992370605,46,121
"734","20170104",3.90000009536743,55,46,140
"735","20170105",3.79999995231628,52.2999992370605,28,113
"736","20170106",5.40000009536743,58.5,33,131
"737","20170107",4.59999990463257,64.9000015258789,36,132
"738","20170108",6.5,61.4000015258789,47,123
"739","20170109",1.5,60.7999992370605,40,125
"740","20170110",-3.70000004768372,45.0999984741211,43,130
"741","20170111",-3.79999995231628,36.4000015258789,29,129
"742","20170112",-2.20000004768372,43.0999984741211,42,124
"743","20170113",-6,47.4000015258789,71,129
"744","20170114",-8.39999961853027,33.2999992370605,59,135
"745","20170115",-6.59999990463257,35.2999992370605,47,130
"746","20170116",-3.79999995231628,37.5999984741211,42,137
"747","20170117",-2,46.5999984741211,29,127
"748","20170118",-0.5,68.9000015258789,28,135
"749","20170119",-1.20000004768372,55.4000015258789,32,128
"750","20170120",-4.40000009536743,70.3000030517578,48,120
"751","20170121",-5.19999980926514,78.0999984741211,51,129
"752","20170122",-8.30000019073486,51.2999992370605,36,129
"753","20170123",-8.89999961853027,48.4000015258789,38,130
"754","20170124",-7,49.5999984741211,69,133
"755","20170125",-5.19999980926514,50.5999984741211,90,130
"756","20170126",-1.29999995231628,64.4000015258789,64,134
"757","20170127",-2.59999990463257,47.2999992370605,30,130
"758","20170128",-1.60000002384186,38,34,132
"759","20170129",0.800000011920929,71.0999984741211,26,131
"760","20170130",-4.80000019073486,61.4000015258789,46,119
"761","20170131",-5.40000009536743,44.7999992370605,26,134
"762","20170201",-4,44.5,31,130
"763","20170202",-2.70000004768372,52.9000015258789,102,124
"764","20170203",1.5,65.4000015258789,66,125
"765","20170204",0.899999976158142,69.4000015258789,47,129
"766","20170205",1.20000004768372,75.3000030517578,35,138
"767","20170206",-1.70000004768372,51,46,141
"768","20170207",-2,45.4000015258789,72,126
"769","20170208",-2.20000004768372,50.0999984741211,49,132
"770","20170209",-5.30000019073486,47,54,142
"771","20170210",-6.59999990463257,44.2999992370605,96,136
"772","20170211",-4.80000019073486,45.4000015258789,94,117
"773","20170212",-2.20000004768372,51.2999992370605,72,135
